25863,201731,21,15,2
25871,201731,22,15,2
25875,201731,23,16,2
25875,201731,24,17,2
36018,201731,11,8,1
36123,201731,11,5,1
36125,201731,12,10,1
35746,201731,13,5,1
32258,201731,14,10,1
32734,201731,4,2,1
30530,201731,1,9,1
34352,201731,1,7,1
32865,201731,1,3,1
35068,201731,1,6,1
31840,201731,1,4,1
30931,201731,6,1,1
36256,201731,7,8,1
30402,201731,8,6,1
33193,201731,5,1,1
35198,201731,15,5,1
35749,201731,2,3,1
31234,201731,8,9,1
25809,201731,8,7,1
26292,201731,3,3,1
21074,201731,16,11,1
21502,201731,17,12,2
23752,201731,18,13,2
20621,201731,19,14,2
25246,201731,20,13,2
